city,district,code,population_district,travel_pattern,total_frequency,total_distance
惠州市,惠阳区,2,1404137,3,6257,56443.758
珠海市,香洲区,2,1384317,1,10713,97532.498
珠海市,香洲区,2,1384317,2,52295,776273.166
珠海市,香洲区,2,1384317,3,18330,81910.054
佛山市,禅城区,2,1330262,1,26542,152101.282
佛山市,禅城区,2,1330262,2,103130,1356465.638
佛山市,禅城区,2,1330262,3,26389,107159.864
广州市,黄埔区,2,1264447,1,9678,71597.092
广州市,黄埔区,2,1264447,2,28098,395535.253
广州市,黄埔区,2,1264447,3,7829,31153.534
惠州市,博罗县,2,1210878,1,6552,54534.196
惠州市,博罗县,2,1210878,2,55058,1457400.088
惠州市,博罗县,2,1210878,3,9958,108124.007
惠州市,惠东县,2,1018076,1,8852,53643.596
惠州市,惠东县,2,1018076,2,51865,1278610.017
惠州市,惠东县,2,1018076,3,10527,109081.921
江门市,台山市,2,907744,1,19962,100963.56
江门市,台山市,2,907744,2,65456,784821.131
江门市,台山市,2,907744,3,24521,64504.634
广州市,南沙区,2,846584,1,12144,122238.014
广州市,南沙区,2,846584,2,45635,934679.18
广州市,南沙区,2,846584,3,9956,74278.604
肇庆市,怀集县,2,805177,1,2936,26422.78
肇庆市,怀集县,2,805177,2,25893,1167936.675
肇庆市,怀集县,2,805177,3,6460,117512.925
江门市,开平市,2,748777,1,11374,61699.834
江门市,开平市,2,748777,2,37991,403849.554
江门市,开平市,2,748777,3,13141,33209.621
肇庆市,四会市,2,640910,1,4766,32429.261
肇庆市,四会市,2,640910,2,28741,534562.815
肇庆市,四会市,2,640910,3,7358,31930.251
深圳市,坪山区,2,551333,1,15485,96821.75
深圳市,坪山区,2,551333,2,68772,1185909.059
深圳市,坪山区,2,551333,3,20820,137350.729
江门市,鹤山市,2,530684,1,3457,22975.522
江门市,鹤山市,2,530684,2,12352,225737.013
江门市,鹤山市,2,530684,3,4446,21777.026
江门市,恩平市,2,483907,1,11641,50526.701
江门市,恩平市,2,483907,2,33163,374955.992
江门市,恩平市,2,483907,3,13212,30500.234
肇庆市,广宁县,2,408112,1,4645,59462.7
肇庆市,广宁县,2,408112,2,31757,1065881.677
肇庆市,广宁县,2,408112,3,6981,103014.505
肇庆市,封开县,2,374848,1,1778,14547.351
肇庆市,封开县,2,374848,2,8196,312770.747
肇庆市,封开县,2,374848,3,2583,16113.999
江门市,江海区,2,364694,1,17215,82885.166
江门市,江海区,2,364694,2,48409,453271.556
江门市,江海区,2,364694,3,16169,40601.385
肇庆市,德庆县,2,331438,1,2875,12233.656
肇庆市,德庆县,2,331438,2,10422,138296.038
肇庆市,德庆县,2,331438,3,3712,8423.756
惠州市,龙门县,2,319183,1,1935,18982.395
惠州市,龙门县,2,319183,2,10360,333507.81
惠州市,龙门县,2,319183,3,3021,25747.919
深圳市,宝安区,1,4476554,1,434090,2991687.825
深圳市,宝安区,1,4476554,2,1313264,17039620.18
肇庆市,鼎湖区,1,209116,3,4059,30838.357
深圳市,龙岗区,1,4135273,1,212479,1640273.66
深圳市,龙岗区,1,4135273,2,674561,9225690.073
深圳市,盐田区,1,214225,3,16006,106213.438
广州市,白云区,1,3742991,1,377033,2457865.743
广州市,白云区,1,3742991,2,1415601,18883980.9
江门市,江海区,1,364694,3,5623,9392.761
佛山市,南海区,1,3667247,1,177021,1086222.359
佛山市,南海区,1,3667247,2,759397,9322302.536
珠海市,金湾区,1,446369,3,24311,112942.173
佛山市,高明区,1,469038,3,26908,101101.971
佛山市,顺德区,1,3229090,1,51438,288350.964
广州市,番禺区,1,2658397,2,642983,10117820.91
江门市,鹤山市,1,530684,3,18008,46388.994
广州市,番禺区,1,2658397,1,166554,1241532.23
深圳市,龙华区,1,2528872,2,803234,12063478.42
深圳市,坪山区,1,551333,3,26389,134475.189
深圳市,龙华区,1,2528872,1,250383,1627417.846
广州市,天河区,1,2241826,2,1658066,21571504.12
肇庆市,端州区,1,602402,3,37323,250095.407
广州市,天河区,1,2241826,1,615408,4587595.012
惠州市,惠城区,1,2090578,2,450838,8527163.882
珠海市,斗门区,1,608899,3,16852,52143.868
惠州市,惠城区,1,2090578,1,59099,387066.106
深圳市,南山区,1,1795826,2,964110,12035290.46
肇庆市,四会市,1,640910,3,11406,57847.254
广州市,海珠区,1,1819037,1,312540,2017331.021
广州市,花都区,1,1642360,2,311810,3780752.128
广州市,从化区,1,717684,3,10244,32759.141
深圳市,南山区,1,1795826,1,401187,3106777.653
深圳市,福田区,1,1553225,2,815843,10038007.98
肇庆市,高要区,1,741591,3,4499,33682.36
广州市,花都区,1,1642360,1,76674,495974.71
广州市,增城区,1,1466331,2,78152,1077291.85
江门市,开平市,1,748777,3,14980,30660.53
深圳市,福田区,1,1553225,1,272516,2172020.998
惠州市,惠阳区,1,1404137,2,170571,3947666.902
佛山市,三水区,1,803226,3,30154,124450.407
广州市,增城区,1,1466331,1,19217,123828.196
珠海市,香洲区,1,1384317,2,620559,7251253.064
广州市,南沙区,1,846584,3,30136,182694.039
惠州市,惠阳区,1,1404137,1,23701,183829.22
佛山市,禅城区,1,1330262,2,550930,5796306.548
江门市,蓬江区,1,853007,3,40100,89627.354
珠海市,香洲区,1,1384317,1,193447,1202465.568
广州市,黄埔区,1,1264447,2,583190,7690684.874
江门市,新会区,1,909277,3,44868,138130.571
佛山市,禅城区,1,1330262,1,153156,799896.605
广州市,荔湾区,1,1238305,2,756494,8771509.985
广州市,越秀区,1,1038643,3,320591,1347734.625
广州市,黄埔区,1,1264447,1,205920,1521485.413
深圳市,罗湖区,1,1143801,2,561642,8033063.011
深圳市,光明区,1,1095289,3,117529,500250.415
广州市,荔湾区,1,1238305,1,215556,1498595.988
深圳市,光明区,1,1095289,2,354229,5731395.629
深圳市,罗湖区,1,1143801,3,164248,729701.905
深圳市,罗湖区,1,1143801,1,158962,1277682.939
广州市,越秀区,1,1038643,2,1173980,16260641
广州市,荔湾区,1,1238305,3,222367,827394.41
深圳市,光明区,1,1095289,1,89099,494080.173
江门市,新会区,1,909277,2,117832,1333698.247
广州市,黄埔区,1,1264447,3,162199,647636.282
广州市,越秀区,1,1038643,1,301292,2269006.032
江门市,蓬江区,1,853007,2,112971,1002937.73
佛山市,禅城区,1,1330262,3,172168,564591.45
江门市,新会区,1,909277,1,42914,221860.55
广州市,南沙区,1,846584,2,121310,2611906.026
珠海市,香洲区,1,1384317,3,211599,684387.362
江门市,蓬江区,1,853007,1,38872,184732.291
佛山市,三水区,1,803226,2,104400,1471936.116
惠州市,惠阳区,1,1404137,3,26534,233847.451
