,log_population_district,population_district,log_total_frequency,log_total_distance,total_frequency,total_distance,code
69,6.504831088,3197651.194,5.293822338,6.533971083,196708.1429,3419566.729,1
70,6.521996941,3326572.1,5.302874809,6.538524981,200851.375,3455612.056,1
71,6.539162793,3460690.76,5.31192728,6.543078878,205081.8754,3492037.334,1
72,6.556328646,3600216.732,5.320979751,6.547632776,209401.4821,3528846.567,1
73,6.573494498,3745368.025,5.330032222,6.552186673,213812.072,3566043.802,1
74,6.590660351,3896371.437,5.339084693,6.556740571,218315.5615,3603633.13,1
75,6.607826204,4053462.91,5.348137164,6.561294469,222913.9072,3641618.684,1
76,6.624992056,4216887.9,5.357189635,6.565848366,227609.1072,3680004.639,1
77,6.642157909,4386901.756,5.366242106,6.570402264,232403.2014,3718795.218,1
78,6.659323761,4563770.126,5.375294577,6.574956161,237298.2728,3757994.684,1
79,6.676489614,4747769.363,5.384347048,6.579510059,242296.4484,3797607.348,1
80,6.693655466,4939186.968,5.393399519,6.584063957,247399.8997,3837637.565,1
81,6.710821319,5138322.027,5.40245199,6.588617854,252610.8442,3878089.737,1
82,6.727987171,5345485.69,5.411504461,6.593171752,257931.546,3918968.312,1
83,6.745153024,5561001.649,5.420556932,6.597725649,263364.3168,3960277.783,1
84,6.762318876,5785206.645,5.429609403,6.602279547,268911.5173,4002022.694,1
85,6.779484729,6018450.999,5.438661874,6.606833445,274575.5576,4044207.634,1
86,6.796650581,6261099.153,5.447714345,6.611387342,280358.8986,4086837.241,1
87,6.813816434,6513530.244,5.456766816,6.61594124,286264.0532,4129916.203,1
88,6.830982287,6776138.694,5.465819287,6.620495137,292293.5871,4173449.257,1
89,6.848148139,7049334.828,5.474871758,6.625049035,298450.1202,4217441.188,1
90,6.865313992,7333545.513,5.483924229,6.629602933,304736.3273,4261896.834,1
91,6.882479844,7629214.827,5.4929767,6.63415683,311154.9398,4306821.082,1
92,6.899645697,7936804.753,5.502029171,6.638710728,317708.7465,4352218.873,1
93,6.916811549,8256795.897,5.511081642,6.643264625,324400.595,4398095.197,1
94,6.933977402,8589688.245,5.520134113,6.647818523,331233.3928,4444455.1,1
95,6.951143254,8936001.938,5.529186584,6.652372421,338210.1088,4491303.678,1
96,6.968309107,9296278.092,5.538239055,6.656926318,345333.7742,4538646.082,1
97,6.985474959,9671079.634,5.547291526,6.661480216,352607.4842,4586487.518,1
98,7.002640812,10060992.19,5.556343997,6.666034114,360034.3992,4634833.246,1
99,7.019806664,10466625,5.565396468,6.670588011,367617.7461,4683688.582,1
0,5.320387263,209116,4.173674402,5.367372555,14916.75654,233008.9245,3
1,5.337553116,217547.0085,4.20220338,5.394875519,15929.54534,248242.1471,3
2,5.354718968,226317.9331,4.230732359,5.422378483,17011.0985,264471.259,3
3,5.371884821,235442.4784,4.259261338,5.449881446,18166.08484,281761.3675,3
4,5.389050673,244934.9014,4.287790317,5.47738441,19399.49018,300181.8364,3
5,5.406216526,254810.034,4.316319296,5.504887374,20716.63888,319806.5643,3
6,5.423382378,265083.306,4.344848275,5.532390338,22123.21676,340714.2811,3
7,5.440548231,275770.7694,4.373377253,5.559893301,23625.29573,362988.8636,3
8,5.457714083,286889.1233,4.401906232,5.587396265,25229.35991,386719.6722,3
9,5.474879936,298455.7401,4.430435211,5.614899229,26942.33371,412001.9093,3
10,5.492045788,310488.6925,4.45896419,5.642402192,28771.61167,438937.0014,3
11,5.509211641,323006.7819,4.487493169,5.669905156,30725.09036,467633.0056,3
12,5.526377494,336029.5679,4.516022148,5.69740812,32811.20253,498205.0436,3
13,5.543543346,349577.3985,4.544551126,5.724911084,35038.95348,530775.7633,3
14,5.560709199,363671.442,4.573080105,5.752414047,37417.95991,565475.8307,3
15,5.577875051,378333.7204,4.601609084,5.779917011,39958.49147,602444.4544,3
16,5.595040904,393587.1434,4.630138063,5.807419975,42671.51508,641829.9438,3
17,5.612206756,409455.5444,4.658667042,5.834922938,45568.74226,683790.3042,3
18,5.629372609,425963.7177,4.687196021,5.862425902,48662.67972,728493.8708,3
19,5.646538461,443137.4572,4.715725,5.889928866,51966.68331,776119.9837,3
20,5.663704314,461003.5968,4.744253978,5.91743183,55495.01567,826859.7077,3
21,5.680870166,479590.0524,4.772782957,5.944934793,59262.90786,880916.5988,3
22,5.698036019,498925.865,4.801311936,5.972437757,63286.62502,938507.5204,3
23,5.715201871,519041.2469,4.829840915,5.999940721,67583.53668,999863.5138,3
24,5.732367724,539967.6282,4.858369894,6.027443684,72172.19166,1065230.725,3
25,5.749533577,561737.7062,4.886898873,6.054946648,77072.39816,1134871.391,3
26,5.766699429,584385.4967,4.915427851,6.082449612,82305.30932,1209064.896,3
27,5.783865282,607946.3868,4.94395683,6.109952576,87893.51446,1288108.884,3
28,5.801031134,632457.19,4.972485809,6.137455539,93861.13664,1372320.463,3
29,5.818196987,657956.2046,5.001014788,6.164958503,100233.9368,1462037.47,3
30,5.835362839,684483.2725,5.029543767,6.192461467,107039.4248,1557619.827,3
31,5.852528692,712079.8422,5.058072746,6.21996443,114306.9786,1659450.99,3
32,5.869694544,740789.0332,5.086601724,6.247467394,122067.9706,1767939.48,3
33,5.886860397,770655.7034,5.115130703,6.274970358,130355.9033,1883520.528,3
34,5.904026249,801726.5195,5.143659682,6.302473322,139206.5538,2006657.819,3
35,5.921192102,834050.0293,5.172188661,6.329976285,148658.1285,2137845.349,3
36,5.938357954,867676.7382,5.20071764,6.357479249,158751.4277,2277609.413,3
37,5.955523807,902659.1878,5.229246619,6.384982213,169530.0221,2426510.711,3
38,5.97268966,939052.038,5.257775598,6.412485176,181040.4404,2585146.601,3
39,5.989855512,976912.1524,5.286304576,6.43998814,193332.3707,2754153.491,3
40,6.007021365,1016298.687,5.314833555,6.467491104,206458.8744,2934209.399,3
41,6.024187217,1057273.184,5.343362534,6.494994068,220476.6158,3126036.666,3
42,6.04135307,1099899.665,5.371891513,6.522497031,235446.1064,3330404.858,3
43,6.058518922,1144244.734,5.400420492,6.549999995,251431.9663,3548133.852,3
44,6.075684775,1190377.679,5.428949471,6.577502959,268503.2029,3780097.126,3
