,log_population_district,population_district,log_total_frequency,log_total_distance,total_frequency,total_distance,code
69,6.504831088,3197651.194,5.404540248,6.624623682,253828.4212,4213312.603,1
70,6.521996941,3326572.1,5.405651935,6.626302373,254478.9914,4229629.949,1
71,6.539162793,3460690.76,5.406763621,6.627981063,255131.2291,4246010.488,1
72,6.556328646,3600216.732,5.407875308,6.629659753,255785.1385,4262454.466,1
73,6.573494498,3745368.025,5.408986994,6.631338443,256440.7239,4278962.129,1
74,6.590660351,3896371.437,5.410098681,6.633017133,257097.9896,4295533.722,1
75,6.607826204,4053462.91,5.411210367,6.634695823,257756.9399,4312169.494,1
76,6.624992056,4216887.9,5.412322054,6.636374513,258417.5791,4328869.693,1
77,6.642157909,4386901.756,5.41343374,6.638053203,259079.9115,4345634.569,1
78,6.659323761,4563770.126,5.414545426,6.639731893,259743.9415,4362464.372,1
79,6.676489614,4747769.363,5.415657113,6.641410583,260409.6734,4379359.353,1
80,6.693655466,4939186.968,5.416768799,6.643089273,261077.1116,4396319.766,1
81,6.710821319,5138322.027,5.417880486,6.644767963,261746.2605,4413345.862,1
82,6.727987171,5345485.69,5.418992172,6.646446653,262417.1245,4430437.898,1
83,6.745153024,5561001.649,5.420103859,6.648125343,263089.7078,4447596.128,1
84,6.762318876,5785206.645,5.421215545,6.649804034,263764.0151,4464820.808,1
85,6.779484729,6018450.999,5.422327232,6.651482724,264440.0506,4482112.196,1
86,6.796650581,6261099.153,5.423438918,6.653161414,265117.8188,4499470.551,1
87,6.813816434,6513530.244,5.424550604,6.654840104,265797.3241,4516896.131,1
88,6.830982287,6776138.694,5.425662291,6.656518794,266478.5711,4534389.196,1
89,6.848148139,7049334.828,5.426773977,6.658197484,267161.5641,4551950.009,1
90,6.865313992,7333545.513,5.427885664,6.659876174,267846.3076,4569578.832,1
91,6.882479844,7629214.827,5.42899735,6.661554864,268532.8062,4587275.928,1
92,6.899645697,7936804.753,5.430109037,6.663233554,269221.0642,4605041.561,1
93,6.916811549,8256795.897,5.431220723,6.664912244,269911.0863,4622875.997,1
94,6.933977402,8589688.245,5.43233241,6.666590934,270602.877,4640779.502,1
95,6.951143254,8936001.938,5.433444096,6.668269624,271296.4407,4658752.345,1
96,6.968309107,9296278.092,5.434555782,6.669948314,271991.782,4676794.792,1
97,6.985474959,9671079.634,5.435667469,6.671627004,272688.9056,4694907.114,1
98,7.002640812,10060992.19,5.436779155,6.673305695,273387.8158,4713089.582,1
99,7.019806664,10466625,5.437890842,6.674984385,274088.5175,4731342.468,1
0,5.320387263,209116,4.331378448,5.244326713,21447.58749,175520.0414,3
1,5.337553116,217547.0085,4.359068906,5.274623766,22859.61468,188201.797,3
2,5.354718968,226317.9331,4.386759363,5.304920819,24364.60434,201799.8406,3
3,5.371884821,235442.4784,4.414449821,5.335217872,25968.67676,216380.3764,3
