,log_population_district,population_district,log_total_frequency,log_total_distance,total_frequency,total_distance,code
0,5.3203872630705265,209116.00000000017,4.219617671868547,5.469991741171367,16581.26544532064,295115.3105070261,3
1,5.337553115609923,217547.00847278963,4.2342745657181755,5.481768075070879,17150.4123264986,303227.14372699964,3
2,5.35471896814932,226317.9330871859,4.248931459567804,5.493544408970391,17739.095000853675,311561.9468704096,3
3,5.371884820688717,235442.47837019752,4.263588353417433,5.505320742869902,18347.98402853067,320125.84871054353,3
4,5.389050673228113,244934.9013794062,4.278245247267061,5.517097076769414,18977.772986446922,328925.146482255,3
5,5.40621652576751,254810.03397954974,4.29290214111669,5.5288734106689255,19629.179258336007,337966.31051246176,3
6,5.423382378306907,265083.30601723865,4.307559034966318,5.540649744568437,20302.944851909437,347255.9889779292,3
7,5.440548230846304,275770.7694300161,4.322215928815947,5.552426078467949,20999.837244067203,356801.01279382803,3
8,5.4577140833857,286889.12332743255,4.336872822665575,5.564202412367461,21720.6502551199,366608.40063666337,3
9,5.474879935925097,298455.7400833227,4.351529716515204,5.575978746266972,22466.204953018274,376685.3641052694,3
10,5.492045788464494,310488.6924800553,4.366186610364832,5.587755080166484,23237.35058862015,387039.3130236675,3
11,5.5092116410038905,323006.78194716765,4.380843504214461,5.5995314140659955,24034.965563060134,397677.86088967655,3
12,5.526377493543287,336029.5679385075,4.39550039806409,5.611307747965507,24859.958428324022,408608.8304732966,3
13,5.543543346082684,349577.39849378465,4.410157291913718,5.623084081865019,25713.268922167328,419840.25956897176,3
14,5.560709198622081,363671.4420322838,4.424814185763347,5.63486041576453,26595.86903855788,431380.4069059651,3
15,5.577875051161477,378333.72042841674,4.439471079612976,5.646636749664042,27508.76413485974,443237.7582211969,3
16,5.595040903700874,393587.1434207939,4.4541279734626045,5.658413083563554,28452.994077022206,455421.03249899717,3
17,5.612206756240271,409455.5444085792,4.468784867312233,5.670189417463066,29429.634424076186,467939.18838238047,3
18,5.629372608779668,425963.71769106045,4.4834417611618615,5.681965751362577,30439.79765328843,480801.4307605415,3
19,5.646538461319064,443137.45720862114,4.49809865501149,5.693742085262089,31484.634427368692,494017.2175374235,3
20,5.663704313858461,461003.5968456468,4.512755548861119,5.7055184191616,32565.334905173426,507596.2665863316,3
21,5.680870166397858,479590.05235833855,4.527412442710747,5.717294753061112,33683.130097398986,521548.5628957144,3
22,5.6980360189372545,498925.86499294656,4.542069336560376,5.729071086960624,34839.29326880858,535884.3659113502,3
23,5.715201871476651,519041.2468625756,4.556726230410004,5.740847420860136,36035.1413885902,550614.2170803584,3
24,5.732367724016049,539967.6281534658,4.571383124259634,5.7526237547596475,37272.036630497816,565748.9476025684,3
25,5.749533576555445,561737.7062345005,4.586040018109261,5.764400088659158,38551.38792448387,581299.6863949496,3
26,5.766699429094842,584385.4967466977,4.600696911958891,5.776176422558671,39874.65256159244,597277.8682749671,3
27,5.783865281634238,607946.3867524669,4.615353805808519,5.787952756458182,41243.337853937825,613695.2423688541,3
28,5.801031134173636,632457.1900277402,4.630010699658148,5.799729090357694,42659.002851663434,630563.8807510327,3
29,5.8181969867130325,657956.2045833002,4.644667593507776,5.811505424257206,44123.26011883346,647896.1873209756,3
30,5.835362839252429,684483.2725052487,4.659324487357406,5.823281758156718,45637.77757028204,665704.906924086,3
31,5.852528691791826,712079.8422080663,4.673981381207034,5.835058092056229,47204.28037151123,684003.1347232758,3
32,5.869694544331223,740789.0331975591,4.688638275056663,5.846834425955741,48824.55290380324,702804.3258281412,3
33,5.8868603968706195,770655.7034448769,4.703295168906291,5.858610759855253,50500.440796783696,722122.3051888159,3
