城市,区县,renkou_quxian,travel_pattern,出行模式,count,sum_distance,sum_time
广州市,从化区,717684,2,休闲,177099,3623338.095,84619.55803
深圳市,盐田区,214225,3,其他,16006,106213.438,3191.993014
肇庆市,四会市,640910,1,通勤,17334,129170.28,8665.618607
肇庆市,四会市,640910,2,休闲,163538,3617965.202,92723.3758
深圳市,福田区,1553225,3,其他,288139,1034758.528,42299.58809
珠海市,斗门区,608899,1,通勤,30984,291198.299,16245.68734
珠海市,斗门区,608899,2,休闲,140083,2512262.636,79182.64117
深圳市,罗湖区,1143801,3,其他,164248,729701.905,28250.33866
肇庆市,端州区,602402,1,通勤,31024,226565.842,14588.83261
肇庆市,端州区,602402,2,休闲,219271,4632864.802,119478.5272
深圳市,龙华区,2528872,3,其他,277130,1004079.888,44285.15268
深圳市,坪山区,551333,1,通勤,46228,290400.358,13316.29156
深圳市,坪山区,551333,2,休闲,194699,3161392.502,99242.95694
深圳市,龙岗区,4135273,3,其他,322210,1295985.507,54393.83241
江门市,鹤山市,530684,1,通勤,26394,177108.348,13143.53228
江门市,鹤山市,530684,2,休闲,96275,1609579.787,70897.80078
珠海市,斗门区,608899,3,其他,49044,306827.091,8854.312949
江门市,恩平市,483907,1,通勤,18321,103569.043,5408.896382
江门市,恩平市,483907,2,休闲,67166,1327633.696,43107.4103
珠海市,金湾区,446369,3,其他,49485,272686.041,7138.259517
佛山市,高明区,469038,1,通勤,31575,222767.112,11396.83136
佛山市,高明区,469038,2,休闲,113735,2119182.681,65496.80109
珠海市,香洲区,1384317,3,其他,229929,766297.416,31929.2142
珠海市,金湾区,446369,1,通勤,27236,311350.815,15523.89775
珠海市,金湾区,446369,2,休闲,110329,2390640.004,64824.03899
肇庆市,四会市,640910,3,其他,28335,209406.595,5395.537932
肇庆市,广宁县,408112,1,通勤,5890,87302.559,2685.463827
肇庆市,广宁县,408112,2,休闲,55875,1979516.746,35575.06865
肇庆市,封开县,374848,3,其他,3946,44808.693,1183.080572
